gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
FBXL14,3,"-0,05878","-0,5912","0,473651","0,430541","0,185366","84,4","0,828701",0,autophagy,DOWN,"0,96"
UPF3A,3,"-0,05811","-0,37957","0,263346","0,257599","0,066357","82,8","0,723102",0,autophagy,DOWN,"0,96"
SLC25A6,3,"-0,0574","-0,62837","0,513562","0,45565","0,207617","84,4","0,84379",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
RAB19,3,"-0,05736","-0,39716","0,28244","0,196923","0,038779","41,4","0,740751",0,autophagy,DOWN,"0,96"
SMG9,3,"-0,05704","-0,23239","0,118306","0,100838","0,010168","42,3","0,523724",0,autophagy,DOWN,"0,96"
RAB39B,3,"-0,05642","-0,55157","0,43873","0,319495","0,102077","56,3","0,82327",0,Autophagy,DOWN,"0,96"
GABPB2,3,"-0,05522","-0,47565","0,36521","0,340138","0,115694","84,1","0,796846",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
PIK3CA,3,"-0,05469","-0,40443","0,295051","0,285525","0,081525","85,7","0,759223",0,Autophagy,DOWN,"0,96"
REXO4,3,"-0,05434","-0,2304","0,121724","0,080413","0,006466","26,4","0,545249",0,autophagy,DOWN,"0,96"
CPT1B,2,"-0,05373","-0,27548","0,168025",0,0,0,"0,63487",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
CRTC1,3,"-0,05337","-0,22217","0,11543",0,0,0,"0,535467",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
TOMM34,3,"-0,05153","-0,37915","0,276088","0,236985","0,056162","67,8","0,757871",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
PCNA,3,"-0,05071","-0,28289","0,181476","0,153442","0,023544","56,2","0,668621",0,autophagy,DOWN,"0,97"
